GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor1Geo_Extra,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,Actor2Geo_Extra,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,Extra60,country,event_category,event_date,goldstein_norm,cameo_weight,mention_norm,preliminary_severity,event_hash,matched_node_id,matched_sector
1306807549,20260525,202605,2026,2026.3973,ISRGOV,ISRAELI,ISR,,,,,GOV,,,UAF,FIGHTER,,,,,,UAF,,,0,190,190,19,4,-10.0,3,1,3,-5.73593073593073,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315.0,31.4167,34.3333,-797156,20260601000000,https://www.arabnews.com/node/2645590/middle-east,Israel,Armed Conflict,2026-05-25,1.0,0.9,0.2007,0.7652,8aa51c735e5146f9bb53f906fca4b751,TN_AGR_ISR,Agri
1306807550,20260525,202605,2026,2026.3973,NICGOV,NICARAGUA,NIC,,,,,GOV,,,NIC,NICARAGUA,NIC,,,,,,,,1,173,173,17,4,-5.0,2,1,2,-6.89655172413793,1,Australia,AS,AS,,-25,135,AS,1,Australia,AS,AS,,-25,135,AS,1,Australia,AS,AS,,-25.0,135,AS,20260601000000,https://www.crookwellgazette.com.au/story/9268517/nicaraguan-indigenous-leader-dies-in-state-custody/,Australia,Coerce/Sanction,2026-05-25,0.75,0.7,0.159,0.5848,5161a63afa2f55e3285ab0f7b4a46e75,TN_AGR_AUS,Agri
1306807551,20260525,202605,2026,2026.3973,NICGOV,NICARAGUA,NIC,,,,,GOV,,,NIC,NICARAGUA,NIC,,,,,,,,1,173,173,17,4,-5.0,2,1,2,-6.89655172413793,1,Nicaragua,NU,NU,,13,-85,NU,1,Nicaragua,NU,NU,,13,-85,NU,1,Nicaragua,NU,NU,,13.0,-85,NU,20260601000000,https://www.crookwellgazette.com.au/story/9268517/nicaraguan-indigenous-leader-dies-in-state-custody/,Nicaragua,Coerce/Sanction,2026-05-25,0.75,0.7,0.159,0.5848,66ace44345550474c58055fda547f327,,
1306807554,20260525,202605,2026,2026.3973,USAELI,GEORGE W. BUSH,USA,,,,,ELI,,,USAGOV,THE WHITE HOUSE,USA,,,,,GOV,,,1,193,193,19,4,-10.0,1,1,1,-1.81159420289855,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260601000000,https://www.wnd.com/2026/05/stop-playing-games-americas-security-trump-rips-federal/,United States,Armed Conflict,2026-05-25,1.0,0.9,0.1003,0.7401,a95cb8093d9e9f3b697171f71705308f,,
1306807556,20260531,202605,2026,2026.4137,JOR,JORDAN,JOR,,,,,,,,COP,PRISON,,,,,,COP,,,1,173,173,17,4,-5.0,6,1,6,-10.9730848861284,3,"Harrisonburg, Virginia, United States",US,USVA,VA660,38.4496,-78.8689,1498489,3,"Harrisonburg, Virginia, United States",US,USVA,VA660,38.4496,-78.8689,1498489,3,"Harrisonburg, Virginia, United States",US,USVA,,38.4496,-78.8689,1498489,20260601000000,https://townhall.com/tipsheet/scott-mcclallen/2026/05/31/texas-man-who-helped-run-illegal-alien-kidnapping-operation-sentenced-to-a-decade-behind-bars-n2676973,United States,Coerce/Sanction,2026-05-31,0.75,0.7,0.2817,0.6154,5dcd5df4a0ee4351038f76084caa3b5a,,
1306807592,20260601,202606,2026,2026.4137,,,,,,,,,,,CAN,CANADA,CAN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-0.492610837438419,0,,,,,,,,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60.0,-96,CA,20260601000000,https://calgaryherald.com:443/news/canada/honouring-canadas-afghan-war-heroes-gen-rick-hillier-celebrates-new-military-honours-review-board/wcm/01b3d922-a8b4-4adc-8d24-345b3892f7b4,Canada,Armed Conflict,2026-06-01,1.0,0.9,0.159,0.7548,60c0913f6d9511bad95af0b30d3b87e6,,
1306807599,20260601,202606,2026,2026.4137,,,,,,,,,,,CRM,CRIMINAL,,,,,,CRM,,,0,170,170,17,4,-7.0,1,1,1,-1.0377358490566,0,,,,,,,,4,"La Espriella, NariñO, Colombia",CO,CO20,18585,1.46889,-78.6432,-588159,4,"La Espriella, NariñO, Colombia",CO,CO20,18585.0,1.46889,-78.6432,-588159,20260601000000,https://www.brandonsun.com/world/2026/05/31/pro-trump-de-la-espriella-and-peace-builder-cepeda-to-face-off-in-presidential-runoff-in-colombia,Colombia,Coerce/Sanction,2026-06-01,0.85,0.7,0.1003,0.6101,28e3823d06c438acefe89e28f40dc3e7,,
1306807628,20260601,202606,2026,2026.4137,,,,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,173,173,17,4,-5.0,5,1,5,-4.77272727272728,0,,,,,,,,1,Nicaragua,NU,NU,,13,-85,NU,1,Nicaragua,NU,NU,,13.0,-85,NU,20260601000000,https://www.wsls.com/news/world/2026/05/31/indigenous-leader-brooklyn-rivera-dies-in-nicaragua-after-nearly-3-years-of-detention/,Unknown,Coerce/Sanction,2026-06-01,0.75,0.7,0.2593,0.6098,1a33beabb6db6a414cc8bd0975d88fc1,,
1306807629,20260601,202606,2026,2026.4137,,,,,,,,,,,GOV,AUTHORITIES,,,,,,GOV,,,1,190,190,19,4,-10.0,5,1,5,-5.96026490066225,0,,,,,,,,3,"Iowa City, Iowa, United States",US,USIA,,41.6611,-91.5302,457827,3,"Iowa City, Iowa, United States",US,USIA,,41.6611,-91.5302,457827,20260601000000,https://cbs2iowa.com/news/local/motorcycle-crash-near-i-380-ramp-sends-two-to-hospital,United States,Armed Conflict,2026-06-01,1.0,0.9,0.2593,0.7798,c3f487a3b320650d0f990e9118152422,,
1306807630,20260601,202606,2026,2026.4137,,,,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,192,192,19,4,-9.5,10,1,10,-1.93905817174515,0,,,,,,,,4,"Basij, Fars, Iran",IR,IR07,41029,30.608,53.1874,10467014,4,"Basij, Fars, Iran",IR,IR07,41029.0,30.608,53.1874,10467014,20260601000000,https://themedialine.org/headlines/pezeshkian-submits-resignation-as-irans-president-citing-irgc-power-grab-report/,Iran,Armed Conflict,2026-06-01,0.975,0.9,0.3471,0.7918,c296f30e7c56c45dc9f5c75ed4e487d1,,
