node_id,snapshot_date,disruption_prob,severity_pred,risk_tier,country,sector,commodity,static_risk_score,lat,lon,insight_text
TN_AGR_SER,2026-06-08,0.6993,4.0,High,Serbia,Agri,Agri,0.3347,,,
TN_AGR_QAT,2026-06-08,0.6993,4.0,High,Qatar,Agri,Agri,0.2662,,,
TN_AGR_AZE,2026-06-08,0.6993,4.0,High,Azerbaijan,Agri,Agri,0.3467,,,
TN_AGR_IRA,2026-06-08,0.6993,4.0,High,Iraq,Agri,Agri,0.3936,,,
TN_AGR_KUW,2026-06-08,0.6993,4.0,High,Kuwait,Agri,Agri,0.293,,,
TN_AGR_CHI,2026-06-08,0.6677,4.0,High,China,Agri,Agri,0.3288,,,
TN_AGR_HON,2026-06-08,0.6677,4.0,High,Hong Kong,Agri,Agri,0.3149,,,
TN_AGR_IND,2026-06-08,0.6677,4.0,High,Indonesia,Agri,Agri,0.3802,,,
TN_AGR_UKR,2026-06-08,0.6677,4.0,High,Ukraine,Agri,Agri,0.446,,,
TN_AGR_HUN,2026-06-08,0.6677,4.0,High,Hungary,Agri,Agri,0.287,,,
TN_AGR_BAH,2026-06-08,0.6677,4.0,High,Bahrain,Agri,Agri,0.3277,,,
TN_AGR_IRE,2026-06-08,0.6677,4.0,High,Ireland,Agri,Agri,0.2137,,,
TN_AGR_SWI,2026-06-08,0.6677,4.0,High,Switzerland,Agri,Agri,0.2102,,,
TN_AGR_ROM,2026-06-08,0.6677,4.0,High,Romania,Agri,Agri,0.2981,,,
TN_AGR_JOR,2026-06-08,0.6677,4.0,High,Jordan,Agri,Agri,0.3542,,,
TN_AGR_AUS,2026-06-08,0.6677,4.0,High,Austria,Agri,Agri,0.2259,,,
TN_AGR_TUR,2026-06-08,0.6677,4.0,High,Turkey,Agri,Agri,0.3684,,,
TN_AGR_SPA,2026-06-08,0.6677,4.0,High,Spain,Agri,Agri,0.274,,,
TN_AGR_GER,2026-06-08,0.6677,4.0,High,Germany,Agri,Agri,0.2267,,,
TN_AGR_BUL,2026-06-08,0.6677,4.0,High,Bulgaria,Agri,Agri,0.2946,,,
TN_AGR_FRA,2026-06-08,0.6677,4.0,High,France,Agri,Agri,0.2371,,,
