node_id,node_type,country,sector,commodity,total_import_usd,import_share_pct,vulnerability_score,hhi,top_source_country,top_source_share_pct,country_risk_fsi,country_risk_source,commodity_importance,commodity_imp_source,chokepoint_weight,chokepoint_source,lat,lon,global_trade_share_pct,representative_companies,n_companies,static_risk_score,score_methodology,risk_tier
TN_AGR_IND,trade,Indonesia,Agri,Agri,43058.35,36.64,0.1282,0.2076,Indonesia,36.64,0.5467,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3802,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_UKR,trade,Ukraine,Agri,Agri,15156.89,12.9,0.1032,0.2076,Indonesia,36.64,0.7992,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.446,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_MAL,trade,Malaysia,Agri,Agri,26138.48,22.24,0.0778,0.2076,Indonesia,36.64,0.4583,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3336,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_RUS,trade,Russian Federation,Agri,Agri,6373.9,5.42,0.0081,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3534,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_THA,trade,Thailand,Agri,Agri,4963.25,4.22,0.0063,0.2076,Indonesia,36.64,0.5667,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3375,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_BAN,trade,Bangladesh,Agri,Agri,981.66,0.84,0.0042,0.2076,Indonesia,36.64,0.71,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3796,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_SIN,trade,Singapore,Agri,Agri,3117.48,2.65,0.004,0.2076,Indonesia,36.64,0.2125,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2303,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_NEP,trade,Nepal,Agri,Agri,2865.51,2.44,0.0037,0.2076,Indonesia,36.64,0.6683,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3669,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_CHI,trade,China,Agri,Agri,379.64,0.32,0.0029,0.2076,Indonesia,36.64,0.5425,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3288,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_KIN,trade,Kingdom of the Netherlands,Agri,Agri,2103.41,1.79,0.0027,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3513,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
