"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY ENERGY","40,561.30","40,641.20","40,141.20","40,445.75","40,346.10","-","-99.65","-0.25","48,27,12,662","12,578.79","41,828.55","32,890.30","-1.57","12.62"
"RELIANCE","1,304.50","1,306.00","1,288.00","1,303.70","1,291.40","-","-6.30","-0.49","1,77,85,223","2,302.83","1,611.80","1,288.00","-11.77","-10.47"
"ADANIGREEN","1,431.00","1,530.00","1,430.10","1,423.30","1,522.00","-","98.70","6.93","1,04,48,500","1,562.28","1,532.50","765.00","14.32","51.65"
"ADANIENSOL","1,528.40","1,591.40","1,527.00","1,520.00","1,578.80","-","58.80","3.87","55,28,998","865.02","1,591.40","744.90","12.00","81.01"
"ATGL","747.00","770.00","741.00","744.05","761.60","-","17.55","2.36","1,00,74,052","765.59","859.85","462.80","17.68","11.61"
"ADANIPOWER","231.68","236.25","230.10","230.03","232.70","-","2.67","1.16","3,08,46,795","720.06","254.20","105.42","1.19","112.45"
"BHEL","390.00","400.35","382.60","389.20","386.55","-","-2.65","-0.68","1,74,37,792","682.31","424.90","205.12","3.09","53.39"
"COALINDIA","483.30","483.60","469.10","481.65","472.05","-","-9.60","-1.99","95,92,529","454.48","491.25","368.65","-0.12","19.54"
"GVT&D","5,080.00","5,103.00","4,986.50","5,086.50","5,026.00","-","-60.50","-1.19","8,88,594","448.66","5,222.10","2,204.00","9.76","107.51"
"CGPOWER","948.85","952.00","928.60","937.90","938.15","-","0.25","0.03","46,45,742","436.24","952.00","525.50","13.45","34.69"
"NHPC","76.11","76.68","73.93","76.12","74.90","-","-1.22","-1.60","5,42,45,677","406.63","92.34","71.62","-9.94","-14.53"
"SUZLON","55.80","56.12","55.10","55.62","55.23","-","-0.39","-0.70","7,28,36,939","404.17","69.50","38.19","0.69","-17.28"
"POWERINDIA","36,940.00","37,440.00","36,600.00","36,525.00","36,765.00","-","240.00","0.66","1,09,445","403.88","38,785.00","16,111.00","7.33","88.39"
"NTPC","365.95","368.50","358.65","366.40","360.75","-","-5.65","-1.54","1,02,77,061","372.95","414.40","315.55","-9.51","9.77"
"ONGC","267.80","268.45","263.70","267.55","264.30","-","-3.25","-1.21","74,93,239","198.65","307.50","228.61","-8.85","11.16"
"POWERGRID","284.00","286.55","283.00","284.60","285.40","-","0.80","0.28","69,55,072","198.21","324.95","250.00","-10.66","-3.01"
"RPOWER","27.44","28.94","27.38","27.39","28.71","-","1.32","4.82","6,62,52,903","186.37","76.49","20.17","1.20","-52.85"
"ABB","7,175.00","7,217.00","7,108.50","7,156.00","7,160.00","-","4.00","0.06","2,49,982","179.06","7,822.50","4,637.50","-2.29","18.71"
"JPPOWER","19.10","19.34","18.91","19.04","19.04","-","-","-","9,09,72,171","173.48","27.70","13.15","-1.14","20.89"
"BPCL","295.00","295.90","291.75","295.15","295.15","-","-","-","55,28,678","162.54","391.65","266.60","-1.12","-4.73"
"IOC","139.00","139.39","137.64","138.95","138.30","-","-0.65","-0.47","1,06,44,029","147.30","188.96","130.22","-2.70","-0.68"
"GAIL","168.00","170.13","166.60","167.55","168.00","-","0.45","0.27","80,47,086","135.51","202.79","134.36","2.63","-11.87"
"ENRIN","3,730.10","3,775.00","3,631.00","3,700.90","3,646.00","-","-54.90","-1.48","3,56,760","131.73","3,968.00","2,115.00","10.57","-"
"SIEMENS","3,695.00","3,724.90","3,647.10","3,686.90","3,700.00","-","13.10","0.36","3,43,897","126.76","3,937.30","2,826.00","-3.81","12.79"
"OIL","491.80","494.95","482.00","488.90","483.40","-","-5.50","-1.12","25,50,336","124.10","531.00","384.60","1.45","14.41"
"INOXWIND","86.50","87.78","84.81","85.78","87.01","-","1.23","1.43","1,40,69,962","121.52","187.02","75.05","-16.71","-52.25"
"HINDPETRO","387.00","389.80","383.75","387.00","385.25","-","-1.75","-0.45","30,03,625","115.85","508.45","316.20","3.04","-3.93"
"NLCINDIA","340.50","347.90","333.35","338.60","336.80","-","-1.80","-0.53","33,67,303","113.67","387.80","220.71","6.43","42.06"
"TATAPOWER","411.45","413.75","406.55","410.80","409.00","-","-1.80","-0.44","26,16,616","107.30","464.90","342.50","-7.60","3.93"
"THERMAX","4,931.20","4,960.00","4,786.60","4,875.90","4,836.00","-","-39.90","-0.82","2,03,060","98.83","5,075.00","2,742.70","17.56","36.94"
"JSWENERGY","591.00","592.90","575.75","590.05","581.00","-","-7.05","-1.20","15,09,598","88.15","617.35","427.75","3.39","14.35"
"PETRONET","269.80","271.50","267.35","269.05","269.60","-","0.55","0.20","29,15,553","78.59","326.40","235.35","-4.58","-12.55"
"AEGISLOG","755.00","779.00","752.00","755.80","768.50","-","12.70","1.68","7,58,298","58.37","944.60","576.10","8.46","-4.66"
"IGL","162.15","165.40","161.98","162.05","164.19","-","2.14","1.32","23,53,993","38.75","229.00","141.74","-1.23","-21.15"
"CESC","178.79","182.00","177.63","177.80","179.30","-","1.50","0.84","19,26,604","34.48","204.50","138.12","-4.06","7.66"
"TORNTPOWER","1,455.00","1,474.00","1,447.20","1,440.00","1,461.80","-","21.80","1.51","2,33,670","34.15","1,824.10","1,188.00","-15.73","3.64"
"MGL","1,084.90","1,107.90","1,075.40","1,074.40","1,090.00","-","15.60","1.45","3,04,504","33.29","1,586.90","900.00","-3.84","-16.61"
